Condition,Time point,Ammonia,Ammonia KC,Nitrite,TON,Nitrate,Time
Reg,T0,4.575,2.327142857,0,33.47571429,33.47571429,0
Reg,T0,8.560714286,3.804285714,0,56.355,56.355,0
Reg,T0,8.723571429,3.835714286,0,56.83642857,56.83642857,0
Reg,T1,3.768571429,0,6.437857143,30.63714286,24.19928571,29.5
Reg,T1,3.875714286,0,6.231428571,30.74857143,24.51714286,29.5
Reg,T1,3.547857143,0,6.291428571,31.41142857,25.12,29.5
Reg,T2,2.947142857,0,14.03857143,29.47,15.43142857,42
Reg,T2,3.012142857,0,13.69928571,28.455,14.75571429,42
Reg,T2,3.193571429,0,14.91428571,31.74285714,16.82857143,42
Reg,T3,2.38,0,21.76357143,27.38,5.616428571,52
Reg,T3,2.344285714,0,22.40428571,27.83142857,5.427142857,52
Reg,T3,2.364285714,0,22.88428571,28.93285714,6.048571429,52
Reg,T4,1.323571429,0.964285714,13.60714286,13.40571429,0,65
Reg,T4,1.659285714,1.027142857,10.31928571,10.46571429,0.146428571,65
Reg,T4,1.297857143,0.849285714,13.52928571,13.235,0,65
Cys,T0,4.575,2.327142857,0,33.47571429,33.47571429,0
Cys,T0,8.560714286,3.804285714,0,56.355,56.355,0
Cys,T0,8.723571429,3.835714286,0,56.83642857,56.83642857,0
Cys,T1,0,0.392142857,3.227142857,32.10928571,28.88214286,29.5
Cys,T1,0,0.675,3.062857143,32.45071429,29.38785714,29.5
Cys,T1,0,0.352857143,2.839285714,32.74357143,29.90428571,29.5
Cys,T2,0,0.217857143,4.765,31.22214286,26.45714286,42
Cys,T2,0,-0.593571429,4.531428571,32.24142857,27.71,42
Cys,T2,0,0.243571429,5.190714286,29.83428571,24.64357143,42
Cys,T3,0,0.471428571,5.282142857,29.74214286,24.46,52
Cys,T3,0,0.498571429,5.489285714,29.67642857,24.18714286,52
Cys,T3,0,-0.282142857,5.468571429,29.91142857,24.44285714,52
Cys,T4,3.845,1.896428571,5.673571429,29.52785714,23.85428571,65
Cys,T4,3.814285714,1.839285714,6.027142857,29.60214286,23.575,65
Cys,T4,3.614285714,1.819285714,6.055,29.415,23.36,65
Sulf,T0,4.575,2.327142857,0,33.47571429,33.47571429,0
Sulf,T0,8.560714286,3.804285714,0,56.355,56.355,0
Sulf,T0,8.723571429,3.835714286,0,56.83642857,56.83642857,0
Sulf,T1,0,0.823571429,2.735,30.84428571,28.10928571,72
Sulf,T1,0,0.608571429,2.350714286,30.36642857,28.01571429,72
Sulf,T1,0,-0.086428571,2.755,28.28714286,25.53214286,72
Sulf,T2,0,0.111428571,8.221428571,31.03285714,22.81142857,113
Sulf,T2,0,0.063571429,8.358571429,29.23071429,20.87214286,113
Sulf,T2,0,0.252857143,9.076428571,31.84142857,22.765,113
Sulf,T3,3.467857143,0,20.10428571,27.50571429,7.401428571,139
Sulf,T3,2.987142857,0,20.26428571,28.70928571,8.445,139
Sulf,T3,3.526428571,0,20.61785714,28.66928571,8.051428571,139
Sulf,T4,2.469285714,1.560714286,13.01857143,12.75428571,-0.264285714,163
Sulf,T4,3.312142857,1.273571429,17.75142857,18.22928571,0.477857143,163
Sulf,T4,2.452857143,1.338571429,20.09142857,19.74642857,-0.345,163
