,Sample,Injection,Peak Area,cond,supp,time,ppm,mm
0,Cys-Ace-T1-1,100,159.2498,Cys,Ace,T1,43.4597,1.2537
1,Cys-Ace-T2-1,100,192.9373,Cys,Ace,T2,52.8307,1.5241
2,Cys-Ace-T3-1,100,314.8328,Cys,Ace,T3,86.7388,2.5022
3,Cys-Ace-T4-1,100,462.7314,Cys,Ace,T4,127.8803,3.6891
4,Cys-BCAA-T1-2,100,414.5441,Cys,BCAA,T1,114.4759,3.3024
5,Cys-BCAA-T2-1,100,576.4812,Cys,BCAA,T2,159.5225,4.6019
6,Cys-BCAA-T3-1,100,1209.5646,Cys,BCAA,T3,335.6297,9.6823
7,Cys-BCAA-T4-1,100,839.8425,Cys,BCAA,T4,232.7827,6.7153
8,Cys-Gly-T1-1,100,160.0654,Cys,Gly,T1,43.6866,1.2603
9,Cys-Gly-T2-1,100,173.2022,Cys,Gly,T2,47.3409,1.3657
10,Cys-Gly-T3-1,100,169.4654,Cys,Gly,T3,46.3014,1.3357
11,Cys-Gly-T4-1,100,172.3737,Cys,Gly,T4,47.1104,1.359
12,Cys-T1-1,100,249.3843,Cys,None,T1,68.5327,1.977
13,Cys-T2-1,100,99.4752,Cys,None,T2,26.8319,0.7741
14,Cys-T3-1,100,194.3382,Cys,None,T3,53.2203,1.5353
15,Cys-T4-1,100,61.551,Cys,None,T4,16.2824,0.4697
16,Reg-Ace-T1-1,100,117.2159,Reg,Ace,T1,31.7669,0.9164
17,Reg-Ace-T2-1,100,573.9897,Reg,Ace,T2,158.8294,4.5819
18,Reg-Ace-T3-1,100,655.6548,Reg,Ace,T3,181.5465,5.2373
19,Reg-Ace-T4-1,100,1017.0882,Reg,Ace,T4,282.0878,8.1377
20,Reg-BCAA-T1-2,100,344.3665,Reg,BCAA,T1,94.9543,2.7393
21,Reg-BCAA-T2-1,100,903.1364,Reg,BCAA,T2,250.3894,7.2233
22,Reg-BCAA-T3-1,100,1037.779,Reg,BCAA,T3,287.8434,8.3037
23,Reg-BCAA-T4-1,100,1015.213,Reg,BCAA,T4,281.5662,8.1226
24,Reg-Gly-T1-1,100,281.7244,Reg,Gly,T1,77.5289,2.2366
25,Reg-Gly-T2-1,100,881.7587,Reg,Gly,T2,244.4427,7.0517
26,Reg-Gly-T3-1,100,1029.3294,Reg,Gly,T3,285.493,8.2359
27,Reg-Gly-T4-1,100,942.8882,Reg,Gly,T4,261.4473,7.5423
28,Reg-T1-1,100,510.0172,Reg,None,T1,141.034,4.0686
29,Reg-T2-1,100,1254.2612,Reg,None,T2,348.0631,10.041
30,Reg-T3-1,100,1307.0786,Reg,None,T3,362.7555,10.4648
31,Reg-T4-3,100,1634.3774,Reg,None,T4,453.8015,13.0913
32,Sulf-Ace-T1-1,100,95.7864,Sulf,Ace,T1,25.8058,0.7444
33,Sulf-Ace-T2-1,100,88.2778,Sulf,Ace,T2,23.7171,0.6842
34,Sulf-Ace-T3-1,100,182.551,Sulf,Ace,T3,49.9415,1.4407
35,Sulf-Ace-T4-1,100,198.4869,Sulf,Ace,T4,54.3744,1.5686
36,Sulf-BCAA-T1-2,100,116.939,Sulf,BCAA,T1,31.6899,0.9142
37,Sulf-BCAA-T2-1,100,66.4087,Sulf,BCAA,T2,17.6337,0.5087
38,Sulf-BCAA-T3-1,100,1270.9054,Sulf,BCAA,T3,352.6931,10.1745
39,Sulf-BCAA-T4-1,100,1380.7048,Sulf,BCAA,T4,383.2364,11.0556
40,Sulf-Gly-T1-1,100,175.8671,Sulf,Gly,T1,48.0822,1.3871
41,Sulf-Gly-T2-1,100,59.9696,Sulf,Gly,T2,15.8425,0.457
