Treatment,Supplement,Measurement,Timepoint,Replicate,Concentration (mM),Hours
None,None,Nitrite,T0,1,0,0
None,None,Nitrite,T0,2,0,0
None,None,Nitrite,T0,3,0,0
None,None,Ammonium,T0,1,5.444314286,0
None,None,Ammonium,T0,2,5.678185714,0
None,None,Ammonium,T0,3,5.500367857,0
None,None,TON,T0,1,28.557825,0
None,None,TON,T0,2,28.70514286,0
None,None,TON,T0,3,32.42465357,0
None,None,Nitrate,T0,1,28.557825,0
None,None,Nitrate,T0,2,28.70514286,0
None,None,Nitrate,T0,3,32.42465357,0
Cys,Ace,Ammonium,T1,1,4.663942857,42
Cys,Ace,Ammonium,T1,2,4.213596429,42
Cys,Ace,Ammonium,T1,3,4.234278571,42
Cys,Ace,Ammonium,T2,1,5.227310714,93
Cys,Ace,Ammonium,T2,2,4.927639286,93
Cys,Ace,Ammonium,T2,3,5.892321429,93
Cys,Ace,Ammonium,T3,1,4.889746429,137
Cys,Ace,Ammonium,T3,2,4.362089286,137
Cys,Ace,Ammonium,T3,3,4.916871429,137
Cys,Ace,Ammonium,T4,1,4.792346429,213
Cys,Ace,Ammonium,T4,2,3.496351786,213
Cys,Ace,Ammonium,T4,3,4.66055,213
Cys,Ace,Nitrite,T1,1,2.680415,42
Cys,Ace,Nitrite,T1,2,3.177834643,42
Cys,Ace,Nitrite,T1,3,3.159605357,42
Cys,Ace,Nitrite,T2,1,12.18573571,93
Cys,Ace,Nitrite,T2,2,13.62396429,93
Cys,Ace,Nitrite,T2,3,18.94305,93
Cys,Ace,Nitrite,T3,1,20.48100714,137
Cys,Ace,Nitrite,T3,2,20.79891071,137
Cys,Ace,Nitrite,T3,3,22.15455714,137
Cys,Ace,Nitrite,T4,1,28.82143929,213
Cys,Ace,Nitrite,T4,2,27.778475,213
Cys,Ace,Nitrite,T4,3,28.42334286,213
Cys,Ace,TON,T1,1,28.63570357,42
Cys,Ace,TON,T1,2,30.41092143,42
Cys,Ace,TON,T1,3,27.37668929,42
Cys,Ace,TON,T2,1,24.70518214,93
Cys,Ace,TON,T2,2,29.38886786,93
Cys,Ace,TON,T2,3,40.86964286,93
Cys,Ace,TON,T3,1,27.92361071,137
Cys,Ace,TON,T3,2,26.28068929,137
Cys,Ace,TON,T3,3,26.003175,137
Cys,Ace,TON,T4,1,22.92953929,213
Cys,Ace,TON,T4,2,23.617275,213
Cys,Ace,TON,T4,3,23.94353929,213
Cys,Ace,Nitrate,T1,1,25.95528857,42
Cys,Ace,Nitrate,T1,2,27.23308679,42
Cys,Ace,Nitrate,T1,3,24.21708393,42
Cys,Ace,Nitrate,T2,1,12.51944643,93
Cys,Ace,Nitrate,T2,2,15.76490357,93
Cys,Ace,Nitrate,T2,3,21.92659286,93
Cys,Ace,Nitrate,T3,1,7.442603571,137
Cys,Ace,Nitrate,T3,2,5.481778571,137
Cys,Ace,Nitrate,T3,3,3.848617857,137
Cys,Ace,Nitrate,T4,1,0,213
Cys,Ace,Nitrate,T4,2,0,213
Cys,Ace,Nitrate,T4,3,0,213
Cys,BCAA,Ammonium,T1,1,4.205132143,42
Cys,BCAA,Ammonium,T1,2,4.87185,42
Cys,BCAA,Ammonium,T1,3,4.388692857,42
Cys,BCAA,Ammonium,T2,1,3.119118929,93
Cys,BCAA,Ammonium,T2,2,4.422303571,93
Cys,BCAA,Ammonium,T2,3,3.188536071,93
Cys,BCAA,Ammonium,T3,1,5.617146429,137
Cys,BCAA,Ammonium,T3,2,4.187610714,137
Cys,BCAA,Ammonium,T3,3,4.118221429,137
Cys,BCAA,Ammonium,T4,1,3.358823929,213
Cys,BCAA,Ammonium,T4,2,3.087807857,213
Cys,BCAA,Ammonium,T4,3,3.357869643,213
Cys,BCAA,Nitrite,T1,1,6.57925,42
Cys,BCAA,Nitrite,T1,2,7.426642857,42
Cys,BCAA,Nitrite,T1,3,8.6242,42
Cys,BCAA,Nitrite,T2,1,13.55117143,93
Cys,BCAA,Nitrite,T2,2,14.59954286,93
Cys,BCAA,Nitrite,T2,3,14.99419643,93
Cys,BCAA,Nitrite,T3,1,3.410378214,137
Cys,BCAA,Nitrite,T3,1,3.422226071,137
Cys,BCAA,Nitrite,T3,2,2.344600714,137
Cys,BCAA,Nitrite,T3,2,2.334833929,137
Cys,BCAA,Nitrite,T3,3,2.989515357,137
Cys,BCAA,Nitrite,T3,3,3.064788929,137
Cys,BCAA,Nitrite,T4,1,0,213
Cys,BCAA,Nitrite,T4,2,0,213
Cys,BCAA,Nitrite,T4,3,0,213
Cys,BCAA,TON,T1,1,24.321325,42
Cys,BCAA,TON,T1,2,24.72813929,42
Cys,BCAA,TON,T1,3,28.19866786,42
Cys,BCAA,TON,T2,1,8.814975,93
Cys,BCAA,TON,T2,2,9.623207143,93
Cys,BCAA,TON,T2,3,9.558957143,93
Cys,BCAA,TON,T3,1,0,137
Cys,BCAA,TON,T3,1,0,137
Cys,BCAA,TON,T3,2,0,137
Cys,BCAA,TON,T3,2,0,137
Cys,BCAA,TON,T3,3,0,137
Cys,BCAA,TON,T3,3,0,137
Cys,BCAA,TON,T4,1,0,213
Cys,BCAA,TON,T4,2,0,213
Cys,BCAA,TON,T4,3,0,213
