,Sample,Reactor,Media,Date,Hours,OD600,Lactate_mM,Acetate_mM,Formate_mM,Pyruvate_mM,Chloride_mM,Nitrite_mM,Nitrate_mM,Sulfate_mM,Phosphate_mM,Na_mM,NH4_mM,K_mM,Mg_mM,Ca_mM
0,I_cal_01_A1_uninoculated,A1,20:30 lac:nit,1/29/19 12:30,0.0,0.065,20.692464,0.0,0.3543284,0.0,9.643753702,0.0,29.04899451,3.912554653,5.749099202000001,205.8911248,7.318587505,3.9664432960000005,5.993416992,2.2433754180000003
1,I_cal_02_A2_uninoculated,A2,20:5 lac:nit,1/29/19 12:30,0.0,0.063,20.649378,0.0,0.312908,0.0,14.92398387,0.0,4.553511093,4.038517593,5.41173448,153.4968679,6.917789234,3.82040002,5.636700267,2.08144119
2,I_cal_03_A3_uninoculated,A3,30:20 lac:nit,1/29/19 12:30,0.0,0.061,31.126457000000002,0.12851400000000002,0.3405216,0.0,15.98849181,0.0,18.89624852,3.336456381,5.0589967080000005,227.2210211,7.357392317,3.9881835389999996,5.924295412,2.202455212
3,I_cal_04_A1_1-29,A1,20:30 lac:nit,1/29/19 12:40,0.166666667,0.08800000000000001,19.292169,0.0685408,0.2921978,0.946459,10.03864271,0.6151505270000001,26.52274256,3.33312513,4.5902240039999995,192.4901602,7.295304617999999,3.9892066089999996,6.033737914,2.185238784
4,I_cal_05_A2_1-29,A2,20:5 lac:nit,1/29/19 12:40,0.166666667,0.075,19.701486,0.0514056,0.2921978,0.801214,14.84105717,0.0,4.738012641,3.323964189,4.608545309,184.443151,7.36903376,4.13678449,6.23163958,2.247367633
5,I_cal_06_A3_1-29,A3,30:20 lac:nit,1/29/19 12:40,0.166666667,0.081,28.677736,0.085676,0.3612318,0.8496290000000001,15.77243111,0.13476796,17.8089151,3.914636685,4.558003778,205.143855,7.518155107999999,4.081794465,6.1259000210000005,2.208693049
6,I_cal_07_A1_1-29,A1,20:30 lac:nit,1/29/19 17:30,5.0,0.075,19.995907,0.0514056,0.2991012,0.762482,9.802273432,0.0,28.05487953,3.38829898,4.542630729,216.5147735,7.434447586,4.127321091000001,6.160460811,2.23339488
7,I_cal_08_A2_1-29,A2,20:5 lac:nit,1/29/19 17:30,5.0,0.07200000000000001,19.823563,0.042838,0.312908,0.762482,14.81905622,0.0,4.628666443999999,4.0362273580000005,4.648136176,179.0542713,7.321913632,4.077190648999999,6.162518,2.238385149
8,I_cal_09_A3_1-29,A3,30:20 lac:nit,1/29/19 17:30,5.0,0.073,29.618446999999996,0.0685408,0.347425,0.752799,15.93377147,0.0,18.29468316,3.900478867,4.546000164,228.3840568,7.418925661,4.00276229,6.018926147,2.195718349
9,I_cal_10_A1_1-30,A1,20:30 lac:nit,1/30/19 12:00,23.5,0.087,20.398042999999998,0.171352,0.3543284,0.781848,10.03356557,0.0,27.80102863,3.990422653,4.605807643,204.0612007,7.296413327000001,4.067727249,6.20119317,2.198962024
10,I_cal_11_A2_1-30,A2,20:5 lac:nit,1/30/19 12:00,23.5,0.079,19.830744,0.0942436,0.347425,0.781848,15.17784109,0.0,4.19902298,4.014990631,4.912636857,157.8818116,7.096291368999999,4.027060208,6.0123431389999995,2.089675133
11,I_cal_12_A3_1-30,A3,30:20 lac:nit,1/30/19 12:00,23.5,0.079,29.589723,0.1028112,0.3543284,0.791531,15.95013116,0.0,17.85020216,3.900062461,4.74079565,209.3209158,7.247630135,4.03524477,5.977782349,3.2364389439999997
12,I_cal_13_A1_1-30,A1,20:30 lac:nit,1/30/19 17:15,28.75,0.09300000000000001,19.967183,0.1199464,0.2991012,0.781848,9.925817279,0.35213563700000006,27.36332129,4.530918176,4.65971861,223.9586452,7.1589334220000005,4.096117448,6.113968319,2.218673587
13,I_cal_14_A2_1-30,A2,20:5 lac:nit,1/30/19 17:15,28.75,0.086,19.644038000000002,0.1113788,0.30600459999999996,0.762482,15.04188644,0.259102271,3.815182348,4.502186134,4.7456392130000005,157.3995233,7.028660125,3.9787201389999995,5.996708496,2.113877938
14,I_cal_15_A3_1-30,A3,30:20 lac:nit,1/30/19 17:15,28.75,0.08800000000000001,29.532275,0.1542168,0.312908,0.781848,15.99808197,0.400391262,17.45539465,4.001457422,4.695097682,228.85692110000002,7.2686956039999995,4.09279247,6.178975519,3.4248215980000003
15,I_cal_16_A1_1-31,A1,20:30 lac:nit,1/31/19 10:15,45.75,0.17600000000000002,17.86315,0.2655956,0.3750386,0.936776,10.11705638,5.521139007,22.28017463,3.413907974,4.576535673,209.9151838,6.5302954710000005,4.162872781,6.308578482000001,2.209691102
16,I_cal_17_A2_1-31,A2,20:5 lac:nit,1/31/19 10:15,45.75,0.14800000000000002,18.724870000000003,0.4112448,0.3405216,0.830263,15.55975517,4.113031192,0.234820151,4.0480949410000004,4.9547548,177.42945840000002,6.27750984,4.027060208,5.976959473,2.062228654
17,I_cal_18_A3_1-31,A3,30:20 lac:nit,1/31/19 10:15,45.75,0.163,27.981178999999997,0.49692079999999994,0.3543284,0.936776,16.20116774,5.460710792,12.39289153,4.0176972730000005,4.783334772,208.54315649999998,6.484284051,4.021433321,6.009051635,2.131593393
18,I_cal_19_A1_1-31,A1,20:30 lac:nit,1/31/19 15:45,51.25,0.233,16.412588,0.342704,0.3543284,1.120753,10.08433701,9.271600913,18.56530694,3.33833021,4.566216777,225.31293309999998,6.026387272000001,4.1534093819999995,6.220119317000001,2.160287439
19,I_cal_20_A2_1-31,A2,20:5 lac:nit,1/31/19 15:45,51.25,0.203,17.267127,0.6082996,0.347425,0.791531,15.32677065,0.277795892,0.0,4.016448053,4.811132615,183.5018571,5.90165752,4.044452402,6.0678872660000005,2.114875992
20,I_cal_21_A3_1-31,A3,30:20 lac:nit,1/31/19 15:45,51.25,0.17600000000000002,27.033286999999998,0.5397588000000001,0.30600459999999996,0.965825,15.9862353,7.05010325,10.6885101,3.3320841139999997,4.6319207680000005,204.252453,6.123953656,3.952120313,5.958033326,2.032536554
21,I_cal_22_A1_1-31,A1,20:30 lac:nit,1/31/19 17:00,52.5,0.21,16.728552,0.2741632,0.312908,1.052972,9.392717118,8.157374198,19.37104971,4.098480117,4.511042272,209.1363158,6.008647928999999,3.984347025,5.971199342,2.0712111380000002
22,I_cal_23_A2_1-31,A2,20:5 lac:nit,1/31/19 17:00,52.5,0.184,17.978046,0.5825968,0.3612318,0.762482,14.08794742,0.28170851,0.403516496,3.997501562,4.636764331,176.2242918,6.197682798,4.016829505,6.130837276,2.083187784
