,level_0,level_1,2019-11-11 19:18:00,2019-11-12 11:00:00,2019-11-12 19:05:00,2019-11-13 11:20:00,2019-11-13 17:00:00,2019-11-14 11:30:00,2019-11-14 14:14:00,2019-11-15 11:47:00,2019-11-16 13:20:00,2019-11-17 12:15:00,2019-11-18 10:35:00,2019-11-20 12:00:00,2019-11-21 16:45:00,2019-11-22 14:30:00,2019-11-25 14:45:00
0,Reg,1,0.01,0.05,0.11,0.46,0.59,0.91,0.91,0.85,0.76,0.61,0.57,0.53,0.51,0.5,0.5
1,Reg,2,0.0,0.04,0.12,0.45,0.56,0.84,0.88,0.79,0.73,0.59,0.56,0.52,0.52,0.49,0.45
2,Reg,3,0.0,0.05,0.1,0.42,0.59,0.89,0.93,0.85,0.76,0.65,0.58,0.57,0.52,0.5,0.48
3,Reg,4,0.0,0.05,0.11,0.43,0.57,0.88,0.88,0.82,0.74,0.65,0.6,0.53,0.53,0.5,0.47
4,Cys,1,0.01,0.04,0.04,0.03,0.06,0.07,0.07,0.06,0.08,0.08,0.17,0.78,0.79,0.75,0.57
5,Cys,2,0.0,0.03,0.02,0.03,0.07,0.07,0.08,0.07,0.09,0.08,0.12,0.64,0.76,0.77,0.58
6,Cys,3,0.0,0.03,0.02,0.03,0.06,0.06,0.06,0.06,0.08,0.07,0.12,0.68,0.76,0.75,0.58
7,Cys,4,0.0,0.01,0.01,0.04,0.06,0.07,0.06,0.06,0.08,0.08,0.16,0.71,0.75,0.78,0.56
8,Sulf,1,0.0,0.01,0.01,0.1,0.15,0.38,0.41,0.72,1.01,0.9,0.81,0.83,0.75,0.74,0.71
9,Sulf,2,0.01,0.01,0.01,0.09,0.15,0.22,0.23,0.52,0.84,0.99,0.87,0.81,0.82,0.86,0.78
10,Sulf,3,0.0,0.02,0.02,0.08,0.13,0.3,0.35,0.78,0.9,0.84,0.8,0.78,0.75,0.74,0.7
11,Sulf,4,0.0,0.0,0.01,0.1,0.16,0.4,0.44,0.8,0.92,0.94,0.88,0.8,0.88,0.84,0.73
12,Cys-No cells,1,0.0,-0.02,-0.03,-0.01,0.0,-0.01,-0.01,-0.02,0.0,-0.01,-0.01,-0.01,0.0,0.0,-0.03
13,Cys-No cells,2,0.0,0.01,-0.03,-0.03,-0.01,-0.01,-0.01,-0.02,0.0,-0.03,-0.02,-0.01,0.0,0.0,-0.03
14,Sulf-No cells,1,0.0,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,0.0,-0.03,-0.02,0.0,-0.01,0.0,-0.02
15,Sulf-No cells,2,0.0,0.0,-0.04,-0.03,-0.01,0.0,0.0,-0.01,-0.03,-0.03,0.0,-0.01,0.0,0.0,-0.03
16,Aero,1,0.05,0.12,0.25,1.09,1.23,1.4,1.4,1.33,1.24,1.15,1.13,1.05,1.04,1.1,1.0
17,Aero,2,0.05,0.13,0.31,1.11,1.18,1.27,1.27,1.24,1.12,1.17,1.04,1.07,1.03,0.99,0.96
18,Aero,3,0.06,0.13,0.32,1.23,1.25,1.19,1.16,1.15,1.07,1.11,1.02,0.96,0.97,1.0,0.92
19,Aero,4,0.06,0.14,0.3,1.17,1.2,1.15,1.12,1.06,1.09,1.0,0.98,1.05,0.96,0.98,0.91
