ID,Description
Intca_1228  ,biotin carboxyl carrier protein; biotin carboxylase [KO:K11263] [EC:6.4.1.2 6.4.1.3 6.3.4.14]
Intca_2062  ,(Acyl-carrier-protein) S-malonyltransferase [KO:K00645] [EC:2.3.1.39]
Intca_2063  ,3-oxoacyl-(acyl-carrier-protein) synthase III [KO:K00648] [EC:2.3.1.180]
Intca_2065  ,3-oxoacyl-(acyl-carrier-protein) synthase II [KO:K09458] [EC:2.3.1.179]
Intca_1889  ,short-chain dehydrogenase/reductase SDR [KO:K00059] [EC:1.1.1.100]
Intca_1722  ,3-oxoacyl-(acyl-carrier-protein) reductase [KO:K00059] [EC:1.1.1.100]
Intca_3212  ,3-oxoacyl-(acyl-carrier-protein) reductase [KO:K00059] [EC:1.1.1.100]
Intca_2264  ,short-chain dehydrogenase/reductase SDR [KO:K00059] [EC:1.1.1.100]
Intca_1447  ,short-chain dehydrogenase/reductase SDR [KO:K00059] [EC:1.1.1.100]
Intca_1723  ,Enoyl-(acyl-carrier-protein) reductase (NADH) [KO:K00208] [EC:1.3.1.9 1.3.1.10]
Intca_0363  ,AMP-dependent synthetase and ligase [KO:K01897] [EC:6.2.1.3]
Intca_1037  ,AMP-dependent synthetase and ligase [KO:K01897] [EC:6.2.1.3]
Intca_1975  ,AMP-dependent synthetase and ligase [KO:K01897] [EC:6.2.1.3]
Intca_3553  ,AMP-dependent synthetase and ligase [KO:K01897] [EC:6.2.1.3]
Intca_2220  ,AMP-dependent synthetase and ligase [KO:K01897] [EC:6.2.1.3]
Intca_1412  ,AMP-dependent synthetase and ligase [KO:K01897] [EC:6.2.1.3]
