ID,KO,Description
ica:Intca_0303,K01738,cysteine synthase [EC:2.5.1.47] | (GenBank) cysteine synthase
ica:Intca_0304,K00640,serine O-acetyltransferase [EC:2.3.1.30] | (GenBank) serine O-acetyltransferase
ica:Intca_0434,K00928,aspartate kinase [EC:2.7.2.4] | (GenBank) aspartate kinase
ica:Intca_0570,K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] | (GenBank) aspartate semialdehyde dehydro
ica:Intca_0886,K00772,5'-methylthioadenosine phosphorylase [EC:2.4.2.28] | (GenBank) methylthioadenosine phosphoryl
ica:Intca_0941,K01697,cystathionine beta-synthase [EC:4.2.1.22] | (GenBank) cystathionine beta-synthase
ica:Intca_0990,K01739,cystathionine gamma-synthase [EC:2.5.1.48] | (GenBank) Cys/Met metabolism pyridoxal-phosphate
ica:Intca_1119,K00024,malate dehydrogenase [EC:1.1.1.37] | (GenBank) malate dehydrogenase (NAD)
ica:Intca_1232,K01011,thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] | (GenBank) Thiosulfate
ica:Intca_1270,K01740,O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49] | (GenBank) O-acetylhomoserine sulfhydrolase
ica:Intca_1499,K14155,cysteine-S-conjugate beta-lyase [EC:4.4.1.13] | (GenBank) aminotransferase class I and II
ica:Intca_1503,K00641,homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46] | (GenBank) homos
ica:Intca_1612,K00789,S-adenosylmethionine synthetase [EC:2.5.1.6] | (GenBank) methionine adenosyltransferase
ica:Intca_1755,K00548,5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13] | (GenBank) methionine
ica:Intca_1895,K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42] | (GenBank) aminotransferase class I
ica:Intca_2047,K10764,O-succinylhomoserine sulfhydrylase [EC:2.5.1.-] | (GenBank) O-succinylhomoserine sulfhydrylas
ica:Intca_2119,K01011,thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] | (GenBank) Rhodanese d
ica:Intca_2324,K01739,cystathionine gamma-synthase [EC:2.5.1.48] | (GenBank) Cys/Met metabolism pyridoxal-phosphate
ica:Intca_2355,K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42] | (GenBank) branched chain amino aci
ica:Intca_2453,K00003,homoserine dehydrogenase [EC:1.1.1.3] | (GenBank) homoserine dehydrogenase
ica:Intca_2510,K01251,adenosylhomocysteinase [EC:3.3.1.1] | (GenBank) adenosylhomocysteinase
ica:Intca_3215,K01920,glutathione synthase [EC:6.3.2.3] | (GenBank) Glutathione synthase
ica:Intca_3307,K01761,methionine-gamma-lyase [EC:4.4.1.11] | (GenBank) cystathionine gamma-synthase
ica:Intca_3315,K00016,L-lactate dehydrogenase [EC:1.1.1.27] | (GenBank) malate dehydrogenase (NAD)
ica:Intca_3590,K01752,L-serine dehydratase [EC:4.3.1.17] | (GenBank) L-serine ammonia-lyase
