ID,Description
Intca_2606  ,citrate synthase [KO:K01647] [EC:2.3.3.1]
Intca_0823  ,citrate synthase [KO:K01647] [EC:2.3.3.1]
Intca_0748  ,citrate synthase [KO:K01647] [EC:2.3.3.1]
Intca_1927  ,aconitase [KO:K01681] [EC:4.2.1.3]
Intca_0556  ,"isocitrate dehydrogenase, NADP-dependent [KO:K00031] [EC:1.1.1.42]"
Intca_2477  ,2-oxoglutarate dehydrogenase E1 component [KO:K00164] [EC:1.2.4.2]
Intca_2018  ,2-oxoglutarate dehydrogenase E2 component [KO:K00658] [EC:2.3.1.61]
Intca_2017  ,dihydrolipoamide dehydrogenase [KO:K00382] [EC:1.8.1.4]
Intca_2203  ,dihydrolipoamide dehydrogenase [KO:K00382] [EC:1.8.1.4]
Intca_0709  ,pyruvate flavodoxin/ferredoxin oxidoreductase domain protein [KO:K00174] [EC:1.2.7.3 1.2.7.11]
Intca_0708  ,2-oxoglutarate synthase [KO:K00175] [EC:1.2.7.31.2.7.11]
Intca_1063  ,succinyl-CoA synthetase (ADP-forming) alpha subunit [KO:K01902] [EC:6.2.1.5]
Intca_1062  ,succinyl-CoA synthetase (ADP-forming) beta subunit [KO:K01903] [EC:6.2.1.5]
Intca_1202  ,succinate dehydrogenase subunit A [KO:K00239] [EC:1.3.5.1 1.3.5.4]
Intca_1201  ,succinate dehydrogenase subunit B [KO:K00240] [EC:1.3.5.1 1.3.5.4]
Intca_1203  ,succinate dehydrogenase subunit C [KO:K00241]
Intca_3158  ,FAD dependent oxidoreductase [KO:K00244] [EC:1.3.5.4]
Intca_3163  ,fumarate reductase/succinate dehydrogenase flavoprotein domain protein [KO:K00244] [EC:1.3.5.4]
Intca_2699  ,fumarase [KO:K01676] [EC:4.2.1.2]
Intca_0703  ,fumarase [KO:K01679] [EC:4.2.1.2]
Intca_1119  ,malate dehydrogenase (NAD) [KO:K00024] [EC:1.1.1.37]
Intca_R0022  ,pyruvate carboxylase [KO:K01958] [EC:6.4.1.1]
Intca_0310  ,Phosphoenolpyruvate carboxykinase (GTP) [KO:K01596] [EC:4.1.1.32]
Intca_2059  ,"2-oxo-acid dehydrogenase E1 subunit, homodimeric type [KO:K00163] [EC:1.2.4.1]"
Intca_0248  ,"pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit [KO:K00161] [EC:1.2.4.1]"
Intca_0249  ,Transketolase central region [KO:K00162] [EC:1.2.4.1]
Intca_0250  ,catalytic domain-containing protein of components of various dehydrogenase complexes [KO:K00627] [EC:2.3.1.12]
Intca_3070  ,pyruvate ferredoxin/flavodoxin oxidoreductase [KO:K03737] [EC:1.2.7.1 1.2.7.-]
