ID,Value,Type
Ga0242637_11473,DNA recombination,GO terms (biological process)
Ga0242637_11473,DNA repair,GO terms (biological process)
Ga0242637_11473,DNA ligation,GO terms (biological process)
Ga0242637_11473,ligase activity,GO terms (molecular function)
Ga0242637_11473,ATP binding,GO terms (molecular function)
Ga0242637_11473,DNA ligase (ATP) activity,GO terms (molecular function)
Ga0242637_11472,DNA recombination,GO terms (biological process)
Ga0242637_11472,DNA repair,GO terms (biological process)
Ga0242637_11472,DNA ligation,GO terms (biological process)
Ga0242637_11472,ligase activity,GO terms (molecular function)
Ga0242637_11472,ATP binding,GO terms (molecular function)
Ga0242637_11472,DNA ligase (ATP) activity,GO terms (molecular function)
Ga0242637_112246,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,Pathways of gene
Ga0242637_112246,L-methionine biosynthesis II (plants),Pathways of gene
Ga0242637_112246,<i>S</i>-adenosyl-L-methionine cycle II,Pathways of gene
Ga0242637_112246,L-methionine biosynthesis III,Pathways of gene
Ga0242637_112246,<i>S</i>-adenosyl-L-methionine cycle I,Pathways of gene
Ga0242637_111987,peptidyl-tyrosine dephosphorylation,GO terms (biological process)
Ga0242637_111987,dephosphorylation,GO terms (biological process)
Ga0242637_111987,phosphatase activity,GO terms (molecular function)
Ga0242637_111987,protein tyrosine phosphatase activity,GO terms (molecular function)
Ga0242637_113124,nucleic acid phosphodiester bond hydrolysis,GO terms (biological process)
Ga0242637_113124,DNA repair,GO terms (biological process)
Ga0242637_113124,hydrolase activity,GO terms (molecular function)
Ga0242637_113124,exodeoxyribonuclease III activity,GO terms (molecular function)
Ga0242637_113124,nuclease activity,GO terms (molecular function)
Ga0242637_112243,integral component of membrane,GO terms (cellular component)
Ga0242637_112243,membrane,GO terms (cellular component)
Ga0242637_112243,transporter activity,GO terms (molecular function)
Ga0242637_112241,cellular response to DNA damage stimulus,GO terms (biological process)
Ga0242637_112241,DNA repair,GO terms (biological process)
Ga0242637_112241,DNA ligation,GO terms (biological process)
Ga0242637_112241,DNA replication,GO terms (biological process)
Ga0242637_112241,DNA metabolic process,GO terms (biological process)
Ga0242637_112241,metal ion binding,GO terms (molecular function)
Ga0242637_112241,ligase activity,GO terms (molecular function)
Ga0242637_112241,DNA ligase (NAD+) activity,GO terms (molecular function)
Ga0242637_112237,transmembrane transport,GO terms (biological process)
Ga0242637_112237,integral component of membrane,GO terms (cellular component)
