intca,ID,value,type
INTCA_RS12115,Ga0242637_112246,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,pathway
INTCA_RS12115,Ga0242637_112246,L-methionine biosynthesis II (plants),pathway
INTCA_RS12115,Ga0242637_112246,<i>S</i>-adenosyl-L-methionine cycle II,pathway
INTCA_RS12115,Ga0242637_112246,L-methionine biosynthesis III,pathway
INTCA_RS12115,Ga0242637_112246,<i>S</i>-adenosyl-L-methionine cycle I,pathway
INTCA_RS12045,Ga0242637_112232,glycolysis I (from glucose 6-phosphate),pathway
INTCA_RS12045,Ga0242637_112232,glycolysis III (from glucose),pathway
INTCA_RS12045,Ga0242637_112232,superpathway of glucose and xylose degradation,pathway
INTCA_RS12025,Ga0242637_112228,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,pathway
INTCA_RS12025,Ga0242637_112228,tetrahydrofolate biosynthesis,pathway
INTCA_RS11995,Ga0242637_112222,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS11995,Ga0242637_112222,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS11995,Ga0242637_112222,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11995,Ga0242637_112222,L-valine biosynthesis,pathway
INTCA_RS11990,Ga0242637_112221,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS11990,Ga0242637_112221,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS11990,Ga0242637_112221,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11990,Ga0242637_112221,L-valine biosynthesis,pathway
INTCA_RS11985,Ga0242637_112220,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS11985,Ga0242637_112220,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS11985,Ga0242637_112220,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11985,Ga0242637_112220,L-valine biosynthesis,pathway
INTCA_RS11965,Ga0242637_112216,superpathway of L-serine and glycine biosynthesis I,pathway
INTCA_RS11965,Ga0242637_112216,L-serine biosynthesis I,pathway
INTCA_RS05820,Ga0242637_11954,selenate reduction,pathway
INTCA_RS05820,Ga0242637_11954,assimilatory sulfate reduction III,pathway
INTCA_RS05815,Ga0242637_11953,selenate reduction,pathway
INTCA_RS05815,Ga0242637_11953,assimilatory sulfate reduction III,pathway
INTCA_RS03540,Ga0242637_11550,L-alanine biosynthesis I,pathway
INTCA_RS03540,Ga0242637_11550,,pathway
INTCA_RS03540,Ga0242637_11550,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03540,Ga0242637_11550,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03540,Ga0242637_11550,aerobic respiration I (cytochrome c),pathway
INTCA_RS03535,Ga0242637_11549,L-alanine biosynthesis I,pathway
INTCA_RS03535,Ga0242637_11549,,pathway
INTCA_RS03535,Ga0242637_11549,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03535,Ga0242637_11549,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03535,Ga0242637_11549,aerobic respiration I (cytochrome c),pathway
INTCA_RS03530,Ga0242637_11548,L-alanine biosynthesis I,pathway
INTCA_RS03530,Ga0242637_11548,,pathway
INTCA_RS03530,Ga0242637_11548,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03530,Ga0242637_11548,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03530,Ga0242637_11548,aerobic respiration I (cytochrome c),pathway
INTCA_RS03525,Ga0242637_11547,L-alanine biosynthesis I,pathway
INTCA_RS03525,Ga0242637_11547,,pathway
INTCA_RS03525,Ga0242637_11547,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03525,Ga0242637_11547,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03525,Ga0242637_11547,aerobic respiration I (cytochrome c),pathway
INTCA_RS03520,Ga0242637_11546,L-alanine biosynthesis I,pathway
INTCA_RS03520,Ga0242637_11546,,pathway
INTCA_RS03520,Ga0242637_11546,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03520,Ga0242637_11546,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03520,Ga0242637_11546,aerobic respiration I (cytochrome c),pathway
INTCA_RS03515,Ga0242637_11545,L-alanine biosynthesis I,pathway
INTCA_RS03515,Ga0242637_11545,,pathway
INTCA_RS03515,Ga0242637_11545,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03515,Ga0242637_11545,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
