query,superpathway,pathway,subpathway,function,id,description,V2,V3
Ga0242637_116,unclassified,unclassified,Yggs,Cell division protein FtsH (EC 3.4.24.-),SS16788,Cell division protein FtsH (EC 3.4.24.-),85.9,9.50E-11
Ga0242637_117,unclassified,unclassified,Yggs,Cell division protein FtsH (EC 3.4.24.-),SS16788,Cell division protein FtsH (EC 3.4.24.-),53.08333333,4.33E-20
Ga0242637_118,Experimental Subsystems,unclassified,uridine kinase cluster 1,Deoxycytidine triphosphate deaminase (EC 3.5.4.13),SS10675,Deoxycytidine triphosphate deaminase (EC 3.5.4.13),88.9,4.00E-88
Ga0242637_1110,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1),SS02981,L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1),67.54285714,2.80E-57
Ga0242637_1111,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1),SS02982,L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1),72.73333333,3.87E-57
Ga0242637_1112,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,Glycine betaine ABC transport system permease protein,SS02975,Glycine betaine ABC transport system permease protein,72.2,0.009333333
Ga0242637_1112,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1),SS02983,L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1),100,6.90E-77
Ga0242637_1113,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1),SS02983,L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1),69.3,0.000916667
Ga0242637_1114,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,61.9,3.40E-130
Ga0242637_1115,Metabolism of Aromatic Compounds,unclassified,Phenylacetyl-CoA catabolic pathway (core),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) PaaF,SS09443,Phenylacetate-coenzyme A ligase (EC 6.2.1.30) PaaF,73.56666667,2.87E-162
Ga0242637_1116,Experimental Subsystems,unclassified,Transporters In Models,ATP-binding protein,SS16175,ATP-binding protein,77.4,1.39E-27
Ga0242637_1117,Experimental Subsystems,unclassified,Transporters In Models,ATP-binding protein,SS16175,ATP-binding protein,76.02,1.60E-21
Ga0242637_1118,Experimental Subsystems,unclassified,Transporters In Models,ATP-binding protein,SS16175,ATP-binding protein,71.5,4.80E-21
Ga0242637_1125,Clustering-based subsystems,2 proteases and a MoxR,CBSS-1140.3.peg.2017,FIG022979: MoxR-like ATPases,SS17543,FIG022979: MoxR-like ATPases,84.8,1.11E-121
Ga0242637_1129,Metabolism of Aromatic Compounds,unclassified,Phenylacetyl-CoA catabolic pathway (core),"Phenylacetic acid degradation protein PaaD, thioesterase",SS09447,"Phenylacetic acid degradation protein PaaD, thioesterase",77.85,1.95E-30
Ga0242637_1130,Metabolism of Aromatic Compounds,unclassified,Phenylacetyl-CoA catabolic pathway (core),3-hydroxyacyl-CoA dehydrogenase PaaC (EC 1.1.1.-),SS09433,3-hydroxyacyl-CoA dehydrogenase PaaC (EC 1.1.1.-),47.95,1.35E-86
Ga0242637_1131,Metabolism of Aromatic Compounds,unclassified,Phenylacetyl-CoA catabolic pathway (core),"Phenylacetic acid degradation protein PaaN2, ring-opening aldehyde dehydrogenase (EC 1.2.1.3)",SS09449,"Phenylacetic acid degradation protein PaaN2, ring-opening aldehyde dehydrogenase (EC 1.2.1.3)",67.48,3.14E-173
Ga0242637_1131,Metabolism of Aromatic Compounds,unclassified,Aromatic Amin Catabolism,"Aldehyde dehydrogenase (EC 1.2.1.3), PaaZ",SS16339,"Aldehyde dehydrogenase (EC 1.2.1.3), PaaZ",59.2,1.60E-175
Ga0242637_1134,unclassified,unclassified,Que-2 2,Exonuclease SbcC,SS04537,Exonuclease SbcC,43.50909091,1.19E-74
Ga0242637_1135,DNA Metabolism,DNA repair,"DNA repair, bacterial",Exonuclease SbcD,SS04538,Exonuclease SbcD,58.92,1.11E-44
Ga0242637_1139,Carbohydrates,unclassified,Sugar utilization in Thermotogales,6-phosphofructokinase (EC 2.7.1.11),SS16109,6-phosphofructokinase (EC 2.7.1.11),58.08333333,2.31E-103
Ga0242637_1140,unclassified,unclassified,Phenylalanine and Tyrosine Branches from Chorismate (copy tempo),Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57),SS09458,Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57),76.43333333,6.00E-120
Ga0242637_1140,Experimental Subsystems,unclassified,tsubsys2,Histidinol-phosphate aminotransferase (EC 2.6.1.9),SS06481,Histidinol-phosphate aminotransferase (EC 2.6.1.9),66.4,9.80E-126
Ga0242637_1141,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1),SS20292,Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1),70.77142857,7.36E-123
Ga0242637_1142,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1),SS20293,Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1),71.95454545,4.76E-129
Ga0242637_1143,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),SS17170,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),68.95,2.65E-129
Ga0242637_1143,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168),SS17171,Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168),56.7,2.80E-128
Ga0242637_1147,Miscellaneous,unclassified,Carbonate Biomineralization,"Transcriptional regulator, TetR family",SS21142,"Transcriptional regulator, TetR family",59.73333333,1.73E-24
Ga0242637_1150,Experimental Subsystems,unclassified,Transporters In Models,Manganese transport protein MntH,SS13860,Manganese transport protein MntH,56.875,1.33E-65
Ga0242637_1152,Amino Acids and Derivatives,Branched-chain amino acids,Isoleucine degradation,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",SS06910,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",58.13333333,4.04E-74
