ID,KO,Definition
ica:Intca_0430,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] | (GenBank) phospholipid/glycero
ica:Intca_1057,K01046,triacylglycerol lipase [EC:3.1.1.3] | (GenBank) alpha/beta hydrolase fold protein
ica:Intca_1221,K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (GenBank) aldehyde dehydrogenase (acceptor)
ica:Intca_1423,K08591,acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275] | (GenBank) protein of unk
ica:Intca_1564,K06117,"glycerol-1-phosphatase [EC:3.1.3.21] | (GenBank) HAD-superfamily hydrolase, subfamily IIA"
ica:Intca_1782,K07029,diacylglycerol kinase (ATP) [EC:2.7.1.107] | (GenBank) diacylglycerol kinase catalytic region
ica:Intca_1834,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] | (GenBank) phospholipid/glycero
ica:Intca_1969,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] | (GenBank) 1-acyl-sn-glycerol-3
ica:Intca_1999,K00865,glycerate 2-kinase [EC:2.7.1.165] | (GenBank) glycerate kinase
ica:Intca_2146,K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (GenBank) Aldehyde Dehydrogenase
ica:Intca_2492,K00635,diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75] | (GenBank) Diacylglyc
ica:Intca_3251,K07029,diacylglycerol kinase (ATP) [EC:2.7.1.107] | (GenBank) diacylglycerol kinase catalytic region
ica:Intca_3417,K00864,glycerol kinase [EC:2.7.1.30] | (GenBank) glycerol kinase
ica:Intca_3457,K07407,alpha-galactosidase [EC:3.2.1.22] | (GenBank) Alpha-galactosidase
